AcX1, AcY1, AcZ1, GyX1, GyY1, GyZ1, AcX2, AcY2, AcZ2, GyX2, GyY2, GyZ2
17232, 16, 6600, 349, 562, 273, 17224, 4676, -3512, -172, 90, 292
17072, 28, 6600, 337, 502, 246, 17096, 4532, -3504, -183, -41, 243
17228, 8, 6416, 367, 436, 253, 17272, 4880, -3856, -178, -19, 242
17204, 24, 6516, 332, 483, 228, 17380, 4600, -3588, -191, -6, 243
17224, 32, 6548, 341, 429, 237, 17188, 4696, -3868, -153, 8, 284
17156, -92, 6352, 383, 530, 321, 17384, 5272, -3772, -164, -11, 294
17136, -112, 6484, 347, 512, 254, 17236, 4808, -3740, -170, 116, 275
17168, 60, 6352, 337, 548, 245, 17196, 4576, -3724, -194, 34, 260
17204, 28, 6448, 333, 555, 258, 17204, 4604, -3684, -189, 75, 289
17072, -56, 6664, 351, 544, 228, 17292, 4600, -3740, -195, 85, 294
17216, 52, 6600, 354, 527, 246, 17220, 4684, -3772, -170, 138, 286
17080, -48, 6420, 343, 526, 245, 17224, 4628, -3604, -185, 60, 274
17116, 80, 6536, 318, 555, 246, 17216, 4640, -3808, -188, 41, 266
17112, -16, 6616, 339, 528, 247, 17224, 4664, -3796, -188, 62, 296
17168, -44, 6524, 339, 539, 249, 17356, 4704, -3728, -173, 70, 266
17236, -40, 6504, 342, 500, 250, 17192, 4640, -3596, -196, 68, 255
17148, -8, 6472, 343, 515, 240, 17260, 4584, -3792, -187, 33, 281
17164, 92, 6580, 350, 542, 236, 17156, 4548, -3620, -185, 61, 286
17168, 48, 6404, 348, 558, 235, 17112, 4668, -3588, -196, 69, 290
17076, -124, 6480, 358, 540, 255, 17228, 4624, -3724, -195, 90, 273
17072, 72, 6676, 357, 541, 237, 17176, 4620, -3548, -186, 62, 289
17168, -164, 6468, 337, 575, 284, 17300, 4720, -3568, -192, 223, 315
17120, -180, 6708, 310, 552, 260, 17092, 4592, -3392, -173, 21, 239
17168, 192, 6628, 337, 513, 260, 17260, 4296, -3892, -177, 37, 270
17068, 104, 6668, 328, 554, 251, 17172, 4972, -3984, -233, 316, 276
17040, -368, 6644, 323, 524, 255, 17204, 4704, -3664, -182, 84, 273
17296, 108, 6584, 344, 529, 271, 17088, 4432, -3688, -172, 58, 266
17176, 36, 6652, 343, 525, 235, 17244, 4684, -3512, -181, 97, 287
17208, -116, 6660, 339, 531, 248, 17368, 4592, -3624, -196, 99, 269
17120, 16, 6564, 333, 507, 272, 17144, 4480, -3648, -180, 55, 265
17172, -8, 6580, 348, 530, 244, 17308, 4640, -3700, -180, 59, 264
17132, 8, 6704, 333, 536, 235, 17300, 4648, -3684, -181, 43, 279
17272, 88, 6752, 346, 522, 266, 17272, 4568, -3516, -200, 49, 283
17244, 0, 6580, 348, 526, 230, 17224, 4724, -3560, -173, 40, 291
17148, -84, 6672, 330, 523, 261, 17124, 4608, -3576, -172, 76, 254
17180, 40, 6488, 333, 517, 258, 17244, 4616, -3576, -176, 32, 292
17092, -184, 6628, 341, 540, 234, 17188, 4820, -3588, -194, 71, 249
17144, -60, 6712, 353, 427, 210, 17316, 4744, -3736, -165, -139, 232
17208, 116, 6628, 337, 450, 225, 17248, 4628, -3680, -182, -4, 281
17136, -148, 6808, 341, 342, 169, 17280, 4664, -3468, -161, 15, 291
17188, 24, 6412, 349, 463, 230, 17196, 4576, -3728, -171, 15, 264
17136, 56, 6628, 338, 493, 222, 17356, 4616, -3640, -184, -80, 234
17312, 224, 6660, 361, 554, 195, 17260, 4844, -3344, -295, -206, 223
17136, -124, 6200, 350, 452, 242, 17280, 4700, -3872, -226, -4, 248
17128, 36, 6552, 329, 646, 234, 17256, 4592, -3580, -219, -35, 297
17144, 28, 6404, 370, 456, 287, 17360, 4548, -3648, -225, 25, 297
17096, 232, 6488, 333, 575, 262, 17320, 4636, -3804, -184, 49, 250
17184, -180, 6528, 348, 620, 245, 17324, 4764, -3720, -195, -2, 251
17140, 200, 6552, 351, 545, 225, 17368, 4476, -3844, -176, 28, 272
17212, 68, 6308, 349, 533, 239, 17240, 4828, -3620, -255, -44, 277
17108, 140, 5876, 321, 217, 226, 17304, 4544, -3764, -150, 294, 279
17208, 312, 6504, 327, 492, 221, 17296, 4376, -4016, -148, 125, 288
17412, 388, 6388, 303, 484, 237, 17212, 4640, -3916, -159, 117, 298
17136, -28, 6256, 317, 484, 201, 17340, 4888, -3548, -173, 85, 317
17352, 256, 6144, 360, 531, 249, 17320, 4664, -3588, -185, 71, 269
17136, 20, 6628, 332, 542, 247, 17208, 4804, -3840, -194, 55, 272
17244, 196, 6344, 334, 529, 238, 17296, 4584, -3824, -190, 70, 285
17080, 92, 6364, 339, 519, 254, 17300, 4576, -3668, -150, 57, 295
17208, 248, 6360, 335, 566, 238, 17304, 4732, -3824, -178, 48, 257
17080, 136, 6272, 339, 585, 268, 17340, 4812, -3768, -197, -36, 260
17276, 124, 6164, 382, 546, 279, 17144, 4580, -3772, -190, 64, 253
17328, -16, 6356, 345, 536, 258, 17232, 4688, -3800, -175, 53, 275
17196, 20, 6332, 324, 554, 228, 17200, 4780, -3868, -184, 66, 302
17196, 0, 6308, 316, 541, 255, 17200, 4628, -3696, -168, 86, 273
17248, 364, 6304, 352, 489, 220, 17148, 4588, -3804, -206, 92, 258
17200, 44, 6332, 321, 512, 241, 17148, 4752, -3780, -194, 63, 264
17224, 20, 6384, 344, 529, 249, 17244, 4628, -3888, -189, 49, 279
17276, 32, 6232, 336, 538, 243, 17304, 4740, -3840, -187, 61, 296
17156, 52, 6328, 326, 515, 234, 17196, 4600, -3848, -176, 45, 275
17220, 160, 6276, 343, 514, 237, 17204, 4680, -3708, -196, 60, 277
17144, 72, 6288, 316, 511, 251, 17240, 4756, -3876, -175, 59, 274
17084, 40, 6260, 372, 538, 239, 17256, 4872, -3728, -181, 51, 280
17248, 108, 6440, 336, 553, 248, 17340, 4704, -3824, -185, 68, 258
17236, 84, 6220, 339, 499, 251, 17188, 4684, -3888, -189, 128, 261
17236, 288, 6344, 352, 486, 248, 17132, 4404, -3712, -202, 97, 256
17148, 44, 6164, 334, 510, 233, 17240, 4668, -3868, -171, 80, 269
17216, 44, 6532, 322, 515, 241, 17228, 4700, -3924, -205, 49, 270
17224, 96, 6284, 345, 538, 239, 17264, 4668, -3720, -196, 40, 273
17128, 88, 6476, 354, 536, 246, 17244, 4772, -3876, -183, 39, 277
17156, 208, 6456, 350, 502, 252, 17260, 4616, -3932, -187, 79, 272
17196, -4, 6324, 329, 517, 240, 17220, 4744, -3908, -197, 34, 255
17132, 132, 6384, 342, 569, 246, 17276, 4768, -3876, -180, 44, 279
17132, 20, 6292, 339, 496, 235, 17240, 4744, -3884, -183, 66, 264
17180, 60, 6232, 327, 525, 243, 17372, 4724, -3864, -178, 41, 271
17184, 20, 6388, 331, 541, 241, 17172, 4668, -4016, -195, 83, 260
17224, 76, 6400, 323, 522, 246, 17296, 4660, -3836, -200, 55, 272
17212, 112, 6388, 340, 510, 265, 17344, 4716, -3792, -178, 35, 279
17148, -4, 6240, 330, 521, 268, 17220, 4680, -3696, -190, 62, 278
17112, 84, 6320, 350, 536, 239, 17180, 4700, -3796, -185, 90, 269
17152, 76, 6316, 347, 566, 257, 17336, 4780, -3632, -184, 69, 291
17200, -116, 6180, 329, 443, 188, 17288, 4668, -3884, -182, 107, 258
17176, 140, 6324, 326, 517, 235, 17284, 4800, -3904, -187, 58, 266
17068, 44, 6472, 351, 541, 253, 17236, 4864, -3840, -190, 48, 286
17092, -8, 6444, 341, 540, 246, 17196, 4632, -3768, -182, 62, 265
17060, 52, 6216, 333, 532, 244, 17140, 4536, -3972, -151, 125, 286
17220, 264, 6444, 316, 429, 254, 17272, 4720, -4032, -167, 92, 237
17132, 52, 6388, 349, 534, 244, 17212, 4680, -3920, -188, 93, 283
17172, -4, 6332, 331, 539, 231, 17244, 4624, -3756, -184, 53, 242
17252, 0, 6404, 321, 527, 241, 17248, 4684, -3956, -177, 72, 269
17196, 64, 6468, 325, 519, 258, 17284, 4736, -3880, -183, 27, 272
17100, 16, 6272, 337, 518, 255, 17328, 4712, -3864, -178, 21, 285
17196, 52, 6448, 337, 530, 257, 17276, 4688, -3920, -182, 65, 286
17228, 136, 6388, 327, 525, 244, 17128, 4728, -3888, -173, 52, 288
17104, 204, 6252, 330, 505, 245, 17156, 4628, -3932, -186, 56, 264
17156, 164, 6292, 313, 536, 249, 17204, 4672, -3856, -183, 64, 266
17184, 24, 6384, 328, 498, 245, 17200, 4820, -3976, -189, 78, 254
17108, -16, 6320, 331, 539, 275, 17188, 4768, -3948, -165, 79, 273
17116, 40, 6444, 341, 517, 255, 17248, 4680, -3840, -174, 80, 261
17236, 24, 6416, 335, 542, 254, 17260, 4728, -4028, -171, 90, 279
17112, 128, 6564, 337, 536, 245, 17336, 4744, -4264, -197, 102, 288
17064, 48, 6532, 309, 516, 278, 17324, 4676, -4076, -195, 78, 288
17188, 248, 6376, 329, 517, 265, 17052, 4520, -3860, -192, 49, 254
17160, 12, 6384, 360, 548, 256, 17188, 4784, -3784, -196, 32, 276
17228, 136, 6404, 309, 504, 247, 17364, 4796, -3800, -203, 49, 238
17232, 36, 6300, 336, 492, 250, 17796, 4908, -3888, -173, 106, 271
17176, 248, 6316, 335, 527, 254, 17172, 4456, -3844, -182, 82, 308
17140, 136, 6316, 347, 532, 224, 17180, 4700, -3832, -201, 92, 289
17212, 120, 6508, 335, 495, 263, 17276, 4716, -3816, -195, 56, 245
17252, 68, 6396, 334, 577, 227, 17360, 4900, -4120, -178, 132, 312
17244, 136, 6272, 318, 520, 279, 17268, 4652, -3920, -211, 258, 305
17132, 92, 6392, 279, 909, 285, 17192, 4688, -3436, -148, 266, 373
17020, -160, 6572, 336, 557, 286, 16676, 4988, -3880, -257, 664, 173
17396, 60, 7012, 332, 493, 199, 16952, 4444, -3040, -194, -19, 267
17208, 360, 6516, 327, 509, 229, 16988, 4440, -3740, -214, 33, 202
17332, -160, 7100, 297, 473, 248, 17236, 4596, -4188, -145, 96, 328
17332, 144, 6396, 328, 492, 227, 17108, 4772, -3556, -204, 93, 278
16892, -260, 6688, 342, 674, 233, 17184, 4688, -3604, -129, 169, 380
17124, -80, 6888, 336, 485, 238, 17280, 4676, -3580, -160, 66, 279
17164, -96, 6388, 346, 549, 269, 17084, 4672, -3752, -181, 45, 274
17200, -52, 6556, 335, 504, 245, 17284, 4628, -3608, -186, 84, 285
17172, -24, 6688, 350, 533, 249, 17172, 4608, -3476, -205, 41, 270
17108, 24, 6588, 339, 563, 249, 17304, 4616, -3564, -182, 84, 257
17084, -16, 6524, 326, 534, 252, 17212, 4540, -3556, -182, 50, 285
17152, -44, 6544, 341, 546, 242, 17212, 4508, -3496, -172, 70, 283
17120, -40, 6592, 324, 503, 233, 17260, 4728, -3604, -192, 95, 282
17160, -40, 6352, 262, 722, 230, 17032, 4692, -3208, -187, 50, 285
17276, -68, 6572, 393, 502, 272, 17156, 4740, -3640, -169, 28, 280
17120, -140, 6720, 325, 509, 278, 17116, 4608, -3668, -166, 59, 273
17204, 48, 6620, 351, 508, 262, 17384, 4624, -3632, -190, 62, 275
17192, -72, 6668, 329, 528, 253, 17268, 4640, -3508, -187, 47, 297
17116, -80, 6760, 354, 530, 245, 17128, 4632, -3684, -200, 82, 271
17128, -52, 6780, 328, 530, 254, 17272, 4600, -3580, -188, 90, 271
17204, -56, 6712, 352, 505, 229, 17308, 4652, -3504, -182, 87, 273
17196, -84, 6644, 324, 530, 246, 17168, 4632, -3548, -187, 80, 293
17116, -80, 6696, 330, 546, 253, 17184, 4692, -3380, -164, 71, 283
17192, -96, 6644, 346, 509, 235, 17204, 4796, -3564, -173, 71, 291
17220, -16, 6560, 345, 517, 240, 17200, 4664, -3624, -187, 54, 278
17240, 52, 6664, 329, 548, 238, 17248, 4676, -3576, -190, 48, 261
17132, -4, 6744, 315, 522, 248, 17232, 4676, -3712, -170, 88, 295
17312, 44, 6692, 331, 534, 233, 17272, 4652, -3508, -184, 66, 287
17176, -40, 6612, 325, 538, 246, 17188, 4720, -3536, -187, 70, 288
17192, -44, 6548, 317, 508, 255, 17252, 4580, -3580, -188, 77, 281
17116, 36, 6720, 348, 541, 251, 17168, 4636, -3588, -185, 75, 272
17280, -56, 6648, 325, 548, 241, 17264, 4612, -3616, -190, 68, 288
17160, 56, 6704, 320, 528, 254, 17268, 4600, -3580, -181, 95, 267
17148, 12, 6572, 331, 527, 270, 17280, 4644, -3632, -201, 80, 262
17096, 8, 6552, 337, 517, 250, 17276, 4676, -3692, -197, 87, 280
17264, -132, 6644, 352, 516, 235, 17324, 4608, -3620, -208, 45, 285
17180, 28, 6680, 333, 509, 256, 17132, 4624, -3656, -192, 66, 283
17104, -8, 6628, 325, 504, 240, 17328, 4784, -3636, -195, 63, 286
17116, -48, 6712, 333, 521, 249, 16680, 4348, -3640, -163, -65, 175
17160, 336, 6760, 321, 488, 129, 17180, 4632, -4020, -187, 89, 315
17048, -468, 6480, 342, 449, 194, 17216, 4864, -3460, -193, 33, 275
17980, -12, 6188, 320, 349, 412, 17116, 5160, -3648, -253, 50, 344
17288, -716, 6452, 330, 511, 267, 17232, 4972, -3772, -201, 50, 224
17212, 180, 6512, 337, 558, 286, 17252, 4460, -3564, -189, 42, 275
17120, 140, 6748, 341, 541, 269, 17400, 4788, -3656, -188, 79, 299
17164, -104, 6628, 337, 559, 287, 17168, 4604, -3536, -191, 94, 308
17224, -40, 6676, 326, 534, 242, 17212, 4564, -3668, -182, 35, 281
16380, 52, 7128, 337, 321, 163, 17268, 4552, -3156, -192, -105, 151
17384, 20, 6260, 347, 416, 217, 17384, 4716, -3736, -208, 135, 216
17036, 92, 6616, 352, 507, 285, 17088, 4008, -3600, -203, -5, 227
17032, -296, 6132, 333, 370, 287, 17116, 4804, -3664, -233, 2, 236
17124, -24, 6712, 334, 571, 229, 17280, 4668, -3804, -162, 73, 321
17240, -28, 6616, 360, 435, 236, 17252, 4660, -3776, -176, 46, 323
17160, -76, 6668, 341, 504, 240, 17240, 4776, -3764, -176, 75, 266
17224, 96, 6456, 329, 517, 253, 17184, 4632, -3500, -188, 36, 288
17180, 48, 6592, 339, 504, 251, 17196, 4660, -3700, -173, 39, 278
17148, -28, 6596, 314, 551, 251, 17176, 4692, -3672, -169, 66, 284
17184, 32, 6408, 349, 547, 255, 17240, 4632, -3588, -195, 65, 263
17124, 48, 6544, 341, 523, 259, 17316, 4712, -4036, -198, 74, 268
17100, 48, 6704, 309, 520, 267, 17340, 4744, -3660, -181, 56, 298
17168, 40, 6376, 350, 551, 246, 17256, 4764, -3648, -182, 38, 292
17096, 100, 6552, 331, 524, 248, 17192, 4732, -3596, -187, 51, 274
17164, 60, 6492, 336, 540, 240, 17176, 4676, -3768, -173, 60, 284
17128, 12, 6476, 348, 538, 241, 17212, 4652, -3708, -186, 49, 281
17216, 64, 6580, 346, 531, 263, 17148, 4672, -3612, -189, 60, 293
17108, -12, 6324, 326, 530, 247, 17288, 4796, -3676, -183, 76, 278
17200, 120, 6408, 373, 516, 258, 17236, 4572, -3688, -185, 51, 298
17148, 4, 6616, 320, 505, 255, 17284, 4832, -4136, -174, -45, 309
16988, -256, 6768, 324, 622, 263, 17328, 4776, -3720, -182, 57, 249
17144, -40, 6600, 336, 536, 241, 17088, 4716, -3620, -170, 54, 214
17164, 148, 6760, 316, 497, 281, 17272, 4404, -3696, -216, -48, 262
17120, 176, 6268, 351, 546, 258, 17400, 4616, -3508, -174, 91, 296
17160, 80, 6396, 337, 549, 273, 17288, 4700, -3700, -170, 101, 254
17220, -60, 6500, 329, 513, 259, 17228, 4560, -3840, -161, 123, 285
17156, 48, 6540, 346, 527, 264, 17244, 4668, -3768, -167, 112, 326
17156, -64, 6676, 342, 554, 295, 17204, 4856, -3660, -177, 108, 288
17208, -64, 6656, 339, 533, 261, 17320, 4472, -3556, -189, 54, 288
17184, 128, 6424, 337, 534, 233, 17240, 4540, -3744, -197, 57, 287
17160, -72, 6764, 342, 534, 226, 17268, 4720, -3640, -165, 78, 265
17160, 44, 6552, 322, 522, 244, 17328, 4560, -3644, -191, 62, 272
17176, 72, 6464, 345, 521, 242, 17220, 4628, -3784, -173, 77, 280
17148, -8, 6408, 325, 507, 242, 17200, 4732, -3672, -184, 66, 252
17200, -40, 6612, 329, 534, 245, 17128, 4776, -3740, -185, 99, 274
17220, -16, 6648, 351, 532, 263, 17108, 4524, -3660, -198, 67, 270
17112, -28, 6620, 330, 497, 240, 17280, 4668, -3676, -172, 70, 283
17388, 568, 6320, 344, 489, 164, 17172, 4412, -3616, -196, 67, 453
16976, -320, 6364, 330, 503, 231, 17236, 4964, -3864, -189, 14, 277
17156, -124, 6580, 327, 540, 219, 17280, 4616, -3784, -179, 96, 267
17272, 48, 6404, 340, 529, 246, 17140, 4504, -3652, -196, 60, 286
17184, 52, 6516, 333, 536, 237, 17516, 4612, -3692, -200, -8, 309
16940, -20, 5584, 295, 586, 342, 17480, 4764, -3584, -218, 68, 245
17084, -40, 6620, 346, 561, 237, 17360, 4464, -3440, -208, 91, 337
17372, -108, 6476, 358, 544, 269, 17216, 5100, -3576, -193, 58, 278
17336, -200, 6700, 333, 523, 248, 17240, 4636, -3764, -170, 98, 269
17200, 52, 6536, 316, 503, 233, 17240, 4840, -3552, -168, 62, 276
17196, 4, 6596, 350, 533, 247, 17204, 4560, -3556, -169, 45, 266
17128, 124, 6464, 325, 567, 254, 17332, 4616, -3652, -188
